"orf_name","hours","es","p"
"BFC529",14,-0.09684706821504818,0.003289473684210526
"BFC272",10,-0.5348593266362288,0.003289473684210526
"BFC490",0,-0.8449963623248611,0.003289473684210526
"BFC987",8,-0.5091850449441104,0.003289473684210526
"BFC361",13,-0.21238900525030846,0.003289473684210526
"BFC692",9,-0.46360251585198775,0.003289473684210526
"BFC845",0,-0.9579289422089835,0.003289473684210526
"BFC267",14,-0.09686281186825185,0.003289473684210526
"BFC36",9,-0.5555107592308544,0.003289473684210526
"BFC805",11,-0.4241448487743552,0.003289473684210526
"BFC1049",10,-0.5025987422354663,0.003289473684210526
"BFC220",0,-0.8205748278967803,0.003289473684210526
"BFC343",11,-0.34985009050839455,0.003289473684210526
"BFC856",13,-0.29162105638302405,0.003289473684210526
"BFC723",8,-0.5766273021604508,0.003289473684210526
"BFC124",13,-0.20925938099865438,0.003289473684210526
"BFC576",0,-0.8602628576660366,0.003289473684210526
"BFC1043",14,-0.08940299368515814,0.003289473684210526
"BFC122",9,-0.461657655542708,0.003289473684210526
"BFC543",11,-0.38610919605045446,0.003289473684210526
"BFC883",10,-0.407961928535832,0.003289473684210526
"BFC276",8,-0.5136359266251924,0.003289473684210526
"BFC823",14,-0.16013011457983395,0.003289473684210526
"BFC1119",11,-0.32566576086719234,0.003289473684210526
"BFC594",13,-0.16758558720375694,0.003289473684210526
"BFC989",9,-0.4067543433908326,0.003289473684210526
"BFC62",10,-0.5144656527780445,0.003289473684210526
"BFC1052",8,-0.5526372549333547,0.003289473684210526
"BFC561",14,-0.10028973694091936,0.003289473684210526
"BFC305",10,-0.4859099250916028,0.003289473684210526
"BFC423",13,-0.2586192729458239,0.003289473684210526
"BFC725",9,-0.48037641892011085,0.003289473684210526
"BFC878",0,-0.8888186934566894,0.003289473684210526
"BFC30",14,-0.1433480830187831,0.003289473684210526
"BFC421",9,-0.5368153771795505,0.003289473684210526
"BFC838",11,-0.4000554109041442,0.003289473684210526
"BFC1081",10,-0.49692262952305766,0.003289473684210526
"BFC253",0,-0.8086536928338408,0.003289473684210526
"BFC405",11,-0.41124439069557683,0.003289473684210526
"BFC89",13,-0.22508890824623162,0.003289473684210526
"BFC785",8,-0.6091119969791579,0.003289473684210526
"BFC162",13,-0.25240096240828025,0.003289473684210526
"BFC609",0,-0.8453753248691908,0.003289473684210526
"BFC1076",14,-0.09196608887515001,0.003289473684210526
"BFC158",9,-0.5015454318558824,0.003289473684210526
"BFC576",11,-0.33397845001964166,0.003289473684210526
"BFC916",10,-0.4000261065230378,0.003289473684210526
"BFC309",8,-0.5752313534874205,0.003289473684210526
"BFC1027",0,-0.8591351557984759,0.003289473684210526
"BFC856",14,-0.1969087312859794,0.003289473684210526
"BFC140",11,-0.30392091219470563,0.003289473684210526
"BFC627",13,-0.1680132031171121,0.003289473684210526
"BFC523",8,-0.6278310049268867,0.003289473684210526
"BFC656",10,-0.45544444850316324,0.003289473684210526
"BFC1085",8,-0.5365573445250174,0.003289473684210526
"BFC594",14,-0.09211360307525807,0.003289473684210526
"BFC34",10,-0.5754706375851905,0.003289473684210526
"BFC456",13,-0.23645798242278881,0.003289473684210526
"BFC787",9,-0.5220483159509768,0.003289473684210526
"BFC910",0,-0.8339032137882707,0.003289473684210526
"BFC336",14,-0.16881610589033824,0.003289473684210526
"BFC454",9,-0.48708316903388404,0.003289473684210526
"BFC870",11,-0.3879448616667064,0.003289473684210526
"BFC1115",10,-0.45048631173014164,0.003289473684210526
"BFC288",0,-0.9540538950531668,0.003289473684210526
"BFC438",11,-0.3665678015389806,0.003289473684210526
"BFC923",13,-0.25299371759717937,0.003289473684210526
"BFC82",8,-0.6349652956292208,0.003289473684210526
"BFC196",13,-0.19290040058141433,0.003289473684210526
"BFC527",9,-0.537059947322739,0.003289473684210526
"BFC643",0,-0.849061044200581,0.003289473684210526
"BFC1109",14,-0.18997345009748157,0.003289473684210526
"BFC194",9,-0.5192456776771204,0.003289473684210526
"BFC609",11,-0.320642960913168,0.003289473684210526
"BFC949",10,-0.44103010601073833,0.003289473684210526
"BFC343",8,-0.5786806012146563,0.003289473684210526
"BFC106",0,-0.8889812962038108,0.003289473684210526
"BFC89",14,-0.12713854931591917,0.003289473684210526
"BFC178",11,-0.3724127834268358,0.003289473684210526
"BFC98",16,-0.0905209765962014,0.003289473684210526
"BFC661",13,-0.18624249919494296,0.003289473684210526
"BFC558",8,-0.6403467338297073,0.003289473684210526
"BFC689",10,-0.442300777943172,0.003289473684210526
"BFC1119",8,-0.5560004669042966,0.003289473684210526
"BFC627",14,-0.10269631984190408,0.003289473684210526
"BFC401",10,-0.5427556502643656,0.003289473684210526
"BFC821",9,-0.5414048890975554,0.003289473684210526
"BFC943",0,-0.8248174948247631,0.003289473684210526
"BFC38",14,-0.1395606442278482,0.003289473684210526
"BFC489",9,-0.48482343155804797,0.003289473684210526
"BFC903",11,-0.35477220462569736,0.003289473684210526
"BFC136",10,-0.3757530842414387,0.003289473684210526
"BFC322",0,-0.9558719441591338,0.003289473684210526
"BFC471",11,-0.3799927015947496,0.003289473684210526
"BFC957",13,-0.15829008079686646,0.003289473684210526
"BFC852",8,-0.6099177910543361,0.003289473684210526
"BFC229",13,-0.15000887012152053,0.003289473684210526
"BFC56",9,-0.532127604454558,0.003289473684210526
"BFC677",0,-0.8680201723455117,0.003289473684210526
"BFC132",14,-0.11526781995731916,0.003289473684210526
"BFC227",9,-0.4403217215397234,0.003289473684210526
