hours,pos,x6144plate_1,x6144col_1,x6144row_1,orf_name,bg,average,fitness
8,230402,2,6,6,"BFC400",114.5,NaN,NaN
8,210402,2,6,7,"BFC400",114,NaN,NaN
8,231170,2,6,8,"BF_control",154.5,128,0.828478964401295
8,211171,2,6,9,"BF_control",144.75,117,0.808290155440414
8,230403,2,6,10,"BFC401",141.5,334,2.36042402826855
8,210403,2,6,11,"BFC401",121.5,299,2.46090534979424
8,231171,2,6,12,"BF_control",139,155,1.11510791366906
8,211172,2,6,13,"BF_control",139,126,0.906474820143885
8,230404,2,6,14,"BFC402",158.5,423,2.66876971608833
8,210404,2,6,15,"BFC402",139.5,408,2.9247311827957
8,231172,2,6,16,"BF_control",148.75,162,1.0890756302521
8,211173,2,6,17,"BF_control",145.5,153,1.05154639175258
8,230405,2,6,18,"BFC403",153,256,1.67320261437909
8,210405,2,6,19,"BFC403",155.5,240,1.54340836012862
8,231173,2,6,20,"BF_control",135.25,144,1.06469500924214
8,211174,2,6,21,"BF_control",148.75,158,1.06218487394958
8,230406,2,6,22,"BFC404",148.5,421,2.83501683501684
8,210406,2,6,23,"BFC404",156,392,2.51282051282051
8,231174,2,6,24,"BF_control",150,153,1.02
8,211175,2,6,25,"BF_control",138.75,154,1.10990990990991
8,230407,2,6,26,"BFC405",153.5,375,2.44299674267101
8,210407,2,6,27,"BFC405",153.5,351,2.28664495114007
8,231175,2,6,28,"BF_control",147,154,1.04761904761905
8,211176,2,6,29,"BF_control",149,153,1.02684563758389
8,230408,2,6,30,"BFC406",159.5,211,1.32288401253918
8,210408,2,6,31,"BFC406",157.5,211,1.33968253968254
8,231176,2,6,32,"BF_control",153,165,1.07843137254902
8,211177,2,6,33,"BF_control",161.5,162,1.0030959752322
8,230409,2,6,34,"BFC407",167.5,265,1.58208955223881
8,210409,2,6,35,"BFC407",157.5,238,1.51111111111111
8,231177,2,6,36,"BF_control",163.5,170,1.03975535168196
8,211178,2,6,37,"BF_control",142.5,153,1.07368421052632
8,230410,2,6,38,"BFC408",172.5,417,2.41739130434783
8,210410,2,6,39,"BFC408",150.5,375,2.49169435215947
8,231178,2,6,40,"BF_control",161,175,1.08695652173913
8,211179,2,6,41,"BF_control",143.75,148,1.0295652173913
8,230411,2,6,42,"BFC409",174.5,385,2.20630372492837
8,210411,2,6,43,"BFC409",148,357,2.41216216216216
8,231179,2,6,44,"BF_control",172,174,1.01162790697674
8,211180,2,6,45,"BF_control",135.75,148,1.0902394106814
8,230412,2,6,46,"BFC410",175.5,369,2.1025641025641
8,210412,2,6,47,"BFC410",142.5,312,2.18947368421053
8,231180,2,6,48,"BF_control",165,177,1.07272727272727
8,211181,2,6,49,"BF_control",142,137,0.964788732394366
8,230413,2,6,50,"BFC411",172.5,430,2.49275362318841
8,210413,2,6,51,"BFC411",142.5,399,2.8
8,231181,2,6,52,"BF_control",173.25,168,0.96969696969697
8,211182,2,6,53,"BF_control",133.5,148,1.10861423220974
8,230414,2,6,54,"BFC412",179,376,2.10055865921788
8,210414,2,6,55,"BFC412",155.5,340,2.18649517684887
8,231182,2,6,56,"BF_control",176.75,190,1.07496463932107
8,211183,2,6,57,"BF_control",139,163,1.1726618705036
8,230415,2,6,58,"BFC413",191.5,NaN,NaN
8,210415,2,6,59,"BFC413",170.5,NaN,NaN
8,231183,2,6,60,"BF_control",202,193,0.955445544554455
8,211184,2,6,61,"BF_control",178,NaN,NaN
8,230416,2,6,62,"BFC414",194.5,NaN,NaN
8,210416,2,6,63,"BFC414",185.5,NaN,NaN
8,231184,2,6,64,"BF_control",196,NaN,NaN
8,240401,2,7,1,"BFC399",170,NaN,NaN
8,221169,2,7,2,"BF_control",90,NaN,NaN
